"filename", "language", "C", "Makefile", "Markdown", "comment", "blank", "total"
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_cryp_des.c", "C", 136, 0, 0, 129, 40, 305
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_cryp_tdes.c", "C", 152, 0, 0, 130, 39, 321
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_dac.c", "C", 203, 0, 0, 440, 64, 707
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_dbgmcu.c", "C", 49, 0, 0, 106, 18, 173
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_dcmi.c", "C", 178, 0, 0, 303, 50, 531
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_dfsdm.c", "C", 823, 0, 0, 1132, 247, 2202
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_dma.c", "C", 424, 0, 0, 759, 111, 1294
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_dma2d.c", "C", 303, 0, 0, 361, 113, 777
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_dsi.c", "C", 815, 0, 0, 740, 208, 1763
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_exti.c", "C", 94, 0, 0, 172, 39, 305
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_flash.c", "C", 531, 0, 0, 930, 151, 1612
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_flash_ramfunc.c", "C", 23, 0, 0, 114, 14, 151
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_fmpi2c.c", "C", 511, 0, 0, 879, 157, 1547
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_fsmc.c", "C", 540, 0, 0, 453, 100, 1093
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_gpio.c", "C", 201, 0, 0, 348, 55, 604
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_hash.c", "C", 173, 0, 0, 489, 57, 719
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_hash_md5.c", "C", 147, 0, 0, 125, 41, 313
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_hash_sha1.c", "C", 151, 0, 0, 125, 40, 316
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_i2c.c", "C", 500, 0, 0, 860, 104, 1464
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_iwdg.c", "C", 40, 0, 0, 195, 24, 259
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_lptim.c", "C", 262, 0, 0, 576, 106, 944
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_ltdc.c", "C", 480, 0, 0, 462, 161, 1103
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_pwr.c", "C", 274, 0, 0, 671, 101, 1046
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_qspi.c", "C", 343, 0, 0, 476, 85, 904
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_rcc.c", "C", 976, 0, 0, 1931, 278, 3185
