"filename", "language", "Makefile", "C", "Markdown", "comment", "blank", "total"
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_dsi.c", "C", 0, 815, 0, 740, 208, 1763
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_exti.c", "C", 0, 94, 0, 172, 39, 305
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_flash.c", "C", 0, 531, 0, 930, 151, 1612
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_flash_ramfunc.c", "C", 0, 23, 0, 114, 14, 151
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_fmpi2c.c", "C", 0, 511, 0, 879, 157, 1547
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_fsmc.c", "C", 0, 540, 0, 453, 100, 1093
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_gpio.c", "C", 0, 201, 0, 348, 55, 604
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_hash.c", "C", 0, 173, 0, 489, 57, 719
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_hash_md5.c", "C", 0, 147, 0, 125, 41, 313
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_hash_sha1.c", "C", 0, 151, 0, 125, 40, 316
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_i2c.c", "C", 0, 500, 0, 860, 104, 1464
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_iwdg.c", "C", 0, 40, 0, 195, 24, 259
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_lptim.c", "C", 0, 262, 0, 576, 106, 944
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_ltdc.c", "C", 0, 480, 0, 462, 161, 1103
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_pwr.c", "C", 0, 274, 0, 671, 101, 1046
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_qspi.c", "C", 0, 343, 0, 476, 85, 904
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_rcc.c", "C", 0, 976, 0, 1931, 278, 3185
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_rng.c", "C", 0, 81, 0, 286, 32, 399
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_rtc.c", "C", 0, 1054, 0, 1409, 295, 2758
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_sai.c", "C", 0, 340, 0, 737, 83, 1160
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_sdio.c", "C", 0, 244, 0, 655, 105, 1004
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_spdifrx.c", "C", 0, 167, 0, 275, 45, 487
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_spi.c", "C", 0, 421, 0, 796, 109, 1326
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_syscfg.c", "C", 0, 204, 0, 243, 67, 514
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_tim.c", "C", 0, 1171, 0, 1785, 402, 3358
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_usart.c", "C", 0, 448, 0, 914, 117, 1479
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_wwdg.c", "C", 0, 61, 0, 209, 30, 300
"Total", "-", 120, 40978, 79, 38531, 11437, 91145
